grid_x_m,grid_y_m,bandwidth_m,support_profile,support_valid,equal_match_local_mean_m
29,-28.5,5,conservative,True,0.329967945125
30,-28.5,5,conservative,True,0.333557187065
31,-28.5,5,conservative,True,0.329532848359
32,-28.5,5,conservative,True,0.332822894643
33,-28.5,5,conservative,True,0.346255489323
34,-28.5,5,conservative,True,0.354016333633
35,-28.5,5,conservative,True,0.356999212011
36,-28.5,5,conservative,True,0.361833253278
37,-28.5,5,conservative,True,0.371931387717
38,-28.5,5,conservative,True,0.376937515413
39,-28.5,5,conservative,False,
40,-28.5,5,conservative,False,
41,-28.5,5,conservative,False,
42,-28.5,5,conservative,False,
43,-28.5,5,conservative,False,
44,-28.5,5,conservative,False,
45,-28.5,5,conservative,False,
46,-28.5,5,conservative,False,
47,-28.5,5,conservative,False,
48,-28.5,5,conservative,False,
49,-28.5,5,conservative,False,
50,-28.5,5,conservative,False,
51,-28.5,5,conservative,False,
52,-28.5,5,conservative,False,
-52,-27.5,5,conservative,False,
-51,-27.5,5,conservative,False,
-50,-27.5,5,conservative,False,
-49,-27.5,5,conservative,False,
-48,-27.5,5,conservative,False,
-47,-27.5,5,conservative,False,
-46,-27.5,5,conservative,False,
-45,-27.5,5,conservative,False,
-44,-27.5,5,conservative,True,0.431160389515
-43,-27.5,5,conservative,True,0.405595515613
-42,-27.5,5,conservative,True,0.383586795547
-41,-27.5,5,conservative,True,0.376662577149
-40,-27.5,5,conservative,True,0.375968954093
-39,-27.5,5,conservative,True,0.36797422829
-38,-27.5,5,conservative,True,0.35175192246
-37,-27.5,5,conservative,True,0.335485526484
-36,-27.5,5,conservative,True,0.315641862584
-35,-27.5,5,conservative,True,0.29918172839
-34,-27.5,5,conservative,True,0.293272239381
-33,-27.5,5,conservative,True,0.282738151633
-32,-27.5,5,conservative,True,0.281908385621
-31,-27.5,5,conservative,True,0.275523595583
-30,-27.5,5,conservative,True,0.27170863467
