history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WOH,B4,J03WN1,0.1,1.9209541920298707,0,solve
2s,J03WOH,B4,J03WN1,1.0,1.920986776440319,0,solve
2s,J03WOH,B4,J03WN1,10.0,1.921303202620372,0,solve
2s,J03WOH,B4,J03WN1,100.0,1.923999123189162,0,solve
2s,J03WOH,B4,J03WOY,0.01,2.11832219724818,0,solve
2s,J03WOH,B4,J03WOY,0.1,2.1183229130436185,0,solve
2s,J03WOH,B4,J03WOY,1.0,2.118330064298671,0,solve
2s,J03WOH,B4,J03WOY,10.0,2.118406341627881,0,solve
2s,J03WOH,B4,J03WOY,100.0,2.1192093608728126,0,solve
2s,J03WOH,B4,J03WPY,0.01,2.07415525827149,0,solve
2s,J03WOH,B4,J03WPY,0.1,2.074155884721873,0,solve
2s,J03WOH,B4,J03WPY,1.0,2.0741622148851926,0,solve
2s,J03WOH,B4,J03WPY,10.0,2.0742383729554814,0,solve
2s,J03WOH,B4,J03WPY,100.0,2.075380555459321,0,solve
2s,J03WOH,B4,J03WQQ,0.01,2.2329947548390146,0,solve
2s,J03WOH,B4,J03WQQ,0.1,2.232994477906121,0,solve
2s,J03WOH,B4,J03WQQ,1.0,2.2329917416005385,0,solve
2s,J03WOH,B4,J03WQQ,10.0,2.2329682265109927,0,solve
2s,J03WOH,B4,J03WQQ,100.0,2.2330354073330247,0,solve
2s,J03WOH,B4,J03WR9,0.01,2.131417437157761,0,solve
2s,J03WOH,B4,J03WR9,0.1,2.1314177639895826,0,solve
2s,J03WOH,B4,J03WR9,1.0,2.131421288240387,0,solve
2s,J03WOH,B4,J03WR9,10.0,2.131456833984015,0,solve
2s,J03WOH,B4,J03WR9,100.0,2.131844093061287,0,solve
2s,J03WOY,B1,J03WMX,0.01,2.1527493519712317,0,solve
2s,J03WOY,B1,J03WMX,0.1,2.152749665007594,0,solve
2s,J03WOY,B1,J03WMX,1.0,2.152752795302553,0,solve
2s,J03WOY,B1,J03WMX,10.0,2.152784091387977,0,solve
2s,J03WOY,B1,J03WMX,100.0,2.15309807950612,0,solve
2s,J03WOY,B1,J03WN1,0.01,2.0191825356596835,0,solve
2s,J03WOY,B1,J03WN1,0.1,2.0191830737433802,0,solve
2s,J03WOY,B1,J03WN1,1.0,2.0191884544496075,0,solve
2s,J03WOY,B1,J03WN1,10.0,2.0192422484434096,0,solve
2s,J03WOY,B1,J03WN1,100.0,2.0197792698055395,0,solve
2s,J03WOY,B1,J03WOH,0.01,2.153412534262022,0,solve
2s,J03WOY,B1,J03WOH,0.1,2.1534129243952487,0,solve
2s,J03WOY,B1,J03WOH,1.0,2.1534168256244333,0,solve
2s,J03WOY,B1,J03WOH,10.0,2.15345582761291,0,solve
2s,J03WOY,B1,J03WOH,100.0,2.1538462187571277,0,solve
2s,J03WOY,B1,J03WPY,0.01,2.1570055369700465,0,solve
2s,J03WOY,B1,J03WPY,0.1,2.157005980064225,0,solve
2s,J03WOY,B1,J03WPY,1.0,2.157010410898771,0,solve
2s,J03WOY,B1,J03WPY,10.0,2.157054708524525,0,solve
2s,J03WOY,B1,J03WPY,100.0,2.157498699284427,0,solve
2s,J03WOY,B1,J03WQQ,0.01,2.2754444246207717,0,solve
2s,J03WOY,B1,J03WQQ,0.1,2.2754445763376747,0,solve
2s,J03WOY,B1,J03WQQ,1.0,2.2754460934807588,0,solve
