history,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept
1s,J03WOH,B1,5,5,7.055596327550461,111.1608255085039,1205,8.958425984872896,8.392246775225367,9.20927877127826,8.77012325714689,,
1s,J03WOH,B1,ALL,5,,,6116,5.759277261170874,5.3394205480237,5.746645857105962,4.934149420357177,1.1007665629424892,-0.592973978705937
1s,J03WOH,B2,1,5,1.9867673708671885,4.015962294600867,1203,3.356490267020469,3.443967330966376,2.779993520449818,2.401502447780933,,
1s,J03WOH,B2,2,5,4.015962294600867,4.904182164063955,1204,4.457614665013781,4.446519694781145,4.241015697481548,3.838021337456728,,
1s,J03WOH,B2,3,5,4.904182164063955,5.8962175081748125,1213,5.372012747549172,5.36355740458916,5.557200472445688,5.13627633632291,,
1s,J03WOH,B2,4,5,5.8962175081748125,7.314521072303193,1303,6.546169184884649,6.519951790308725,6.965212218478271,6.350629220799313,,
1s,J03WOH,B2,5,5,7.314521072303193,97.98336188432971,1193,9.00596928036159,8.556199773533267,9.119375744708591,8.62605570521039,,
1s,J03WOH,B2,ALL,5,,,6116,5.754554792357005,5.3967740777177315,5.746645857105962,4.934149420357177,1.0819146293175161,-0.4792911579542989
1s,J03WOH,B3,1,5,1.5167314810772456,3.9641810124685284,1294,3.2468172949537237,3.368657310292881,2.8559451033772274,2.5621620685969084,,
1s,J03WOH,B3,2,5,3.9641810124685284,4.886139577817401,1221,4.419193388246055,4.412586450993495,4.321685927599877,3.966420967048616,,
1s,J03WOH,B3,3,5,4.886139577817401,5.9297947470774925,1141,5.39517097017061,5.394440920521725,5.616927626153437,5.1546414354524455,,
1s,J03WOH,B3,4,5,5.9297947470774925,7.355323459071245,1252,6.577700629231388,6.553780630547513,7.061669548045153,6.427731996340482,,
1s,J03WOH,B3,5,5,7.355323459071245,93.32512891449922,1208,9.044521041228677,8.585720496131989,9.043037984351729,8.587569978249057,,
1s,J03WOH,B3,ALL,5,,,6116,5.70866078961497,5.377780134968425,5.746645857105962,4.934149420357177,1.039928754514923,-0.18995464778650276
1s,J03WOH,B4,1,5,1.495431114237431,3.953735704024299,1261,3.2558300822826185,3.3453030056466195,2.802457191002434,2.515409963121288,,
1s,J03WOH,B4,2,5,3.953735704024299,4.886062467115949,1224,4.428882177904458,4.431581942419602,4.297741206700513,3.9631351399182746,,
1s,J03WOH,B4,3,5,4.886062467115949,5.933299041698514,1158,5.394849711469343,5.384752629127155,5.62320069370539,5.134624679061661,,
1s,J03WOH,B4,4,5,5.933299041698514,7.360421662408816,1261,6.583942175274955,6.567403100944825,7.0715608580251965,6.403654254250741,,
1s,J03WOH,B4,5,5,7.360421662408816,92.04121645783955,1212,9.051695676958943,8.556222757227417,9.012580579145183,8.607937205103918,,
1s,J03WOH,B4,ALL,5,,,6116,5.730345933435398,5.379599183078742,5.746645857105962,4.934149420357177,1.0463904086765743,-0.24953316603965048
1s,J03WOY,B1,1,5,2.565165558996149,4.0584226936421945,1219,3.508177013076499,3.5473537752099746,3.062007365097881,2.5138270786777563,,
1s,J03WOY,B1,2,5,4.0584226936421945,4.868595171407659,1299,4.476543384428528,4.480604956086893,4.456611053635909,3.8655007889922177,,
1s,J03WOY,B1,3,5,4.868595171407659,5.717602861577679,1270,5.2772779672511705,5.262518833236699,5.45436475273539,4.838998809464102,,
1s,J03WOY,B1,4,5,5.717602861577679,7.1329752895378675,1271,6.327698174394152,6.283995108491292,6.747689425428026,6.135543684939909,,
1s,J03WOY,B1,5,5,7.1329752895378675,23.168294243101396,1283,9.369273180712337,8.640268194730716,9.208694629505729,8.35678214962826,,
1s,J03WOY,B1,ALL,5,,,6342,5.811561419777798,5.273947669605107,5.808867304017058,4.930496791001204,0.6916816054909061,1.7891171707761369
1s,J03WOY,B2,1,5,1.9820515621684005,3.937738946127707,1237,3.2959859158353586,3.3649037842862666,2.896111441187727,2.4646126749008617,,
1s,J03WOY,B2,2,5,3.937738946127707,4.854454687925345,1289,4.391157070656521,4.3944173687271,4.396705477226188,3.93073647419586,,
1s,J03WOY,B2,3,5,4.854454687925345,5.867760207671691,1267,5.3411414166688775,5.338710726396012,5.676470032222154,5.086410785474163,,
1s,J03WOY,B2,4,5,5.867760207671691,7.334817223128108,1263,6.525144436214771,6.491410915791288,6.846977989047823,6.253592752536832,,
1s,J03WOY,B2,5,5,7.334817223128108,22.249510438475642,1286,9.394830755617674,8.704380523134779,9.136992611344896,8.251800550043926,,
1s,J03WOY,B2,ALL,5,,,6342,5.806933458143749,5.34405814959967,5.808867304017058,4.930496791001204,0.7440895207795375,1.4879889699482138
1s,J03WOY,B3,1,5,1.5533954569885289,3.8987308042672195,1339,3.224473700475346,3.315687134522595,2.917141259316325,2.5520323002297007,,
