period,time_period_s,reason,available
2,1638.04,complete_ten_attackers_unavailable,9.0
2,1642.04,complete_ten_attackers_unavailable,9.0
2,1646.04,complete_ten_attackers_unavailable,9.0
2,1650.04,complete_ten_attackers_unavailable,9.0
2,1654.04,complete_ten_attackers_unavailable,9.0
2,1658.04,complete_ten_attackers_unavailable,9.0
2,1662.04,complete_ten_attackers_unavailable,9.0
2,1666.04,complete_ten_attackers_unavailable,9.0
2,1670.04,complete_ten_attackers_unavailable,9.0
2,1674.04,complete_ten_attackers_unavailable,9.0
2,1678.04,complete_ten_attackers_unavailable,9.0
2,1682.04,restart_or_ball_out_span,
2,1686.04,opponent_possession_event_after_anchor,
2,1690.04,complete_ten_defenders_unavailable,9.0
2,1694.04,complete_ten_defenders_unavailable,9.0
2,1698.04,complete_ten_defenders_unavailable,9.0
2,1702.04,opponent_possession_event_after_anchor,
2,1706.04,opponent_possession_event_after_anchor,
2,1710.04,complete_ten_defenders_unavailable,9.0
2,1714.04,restart_or_ball_out_span,
2,1718.04,complete_ten_attackers_unavailable,9.0
2,1722.04,complete_ten_attackers_unavailable,9.0
2,1726.04,complete_ten_attackers_unavailable,9.0
2,1730.04,complete_ten_attackers_unavailable,9.0
2,1734.04,restart_or_ball_out_span,
2,1738.04,complete_ten_attackers_unavailable,9.0
2,1742.04,complete_ten_defenders_unavailable,9.0
2,1746.04,complete_ten_defenders_unavailable,9.0
2,1750.04,opponent_possession_event_after_anchor,
2,1754.04,opponent_possession_event_after_anchor,
2,1758.04,complete_ten_defenders_unavailable,9.0
2,1762.04,complete_ten_defenders_unavailable,9.0
2,1766.04,complete_ten_attackers_unavailable,9.0
2,1770.04,complete_ten_attackers_unavailable,9.0
2,1774.04,complete_ten_attackers_unavailable,9.0
2,1778.04,complete_ten_attackers_unavailable,9.0
2,1782.04,complete_ten_attackers_unavailable,9.0
2,1786.04,complete_ten_defenders_unavailable,9.0
2,1790.04,complete_ten_attackers_unavailable,9.0
2,1794.04,complete_ten_attackers_unavailable,9.0
2,1798.04,complete_ten_attackers_unavailable,9.0
